AAPL,AAPL_VOL,XOM,XOM_VOL,JNJ,JNJ_VOL,JPM,JPM_VOL,PG,PG_VOL,CAT,CAT_VOL
39.21072769165039,129915600,60.54519271850586,14404700,110.52123260498048,13137400,93.41695404052734,13141400,70.38751220703125,11798100,137.30532836914062,7014000
39.29272079467773,188923200,61.77274703979492,17971000,111.98485565185548,9393600,94.38609313964844,13800600,69.988037109375,8606300,136.84982299804688,4323600
37.58779525756836,346375200,58.62411880493164,29822100,110.11335754394533,9262500,92.29440307617188,16477300,68.68366241455078,12846300,132.84323120117188,7602800
36.64867782592773,290954000,55.28824234008789,30452700,104.28301239013672,19954100,87.86863708496094,30097600,66.08304595947266,17462200,127.43637084960938,11390500
38.1802978515625,272975200,54.33809280395508,36262800,105.43466186523438,19193500,90.54183959960938,33114800,67.1591567993164,19955500,131.93222045898438,13908700
37.36296463012695,206434400,53.3602180480957,21994500,105.10675811767578,10550400,91.15563201904295,21878300,66.71893310546875,11851800,130.18614196777344,7156500
36.33486557006836,217562000,52.7568359375,25650800,101.05989074707033,11680200,87.12562561035156,27425800,65.39824676513672,14596100,123.14290618896484,9101900
36.7792854309082,282690400,53.0931396484375,29491600,103.5951919555664,15030900,88.87007141113281,28188000,65.15367889404297,18838800,125.8590087890625,9528100
38.26072311401367,243278000,53.54155349731445,19340400,104.18699645996094,9963900,90.24303436279295,18043300,66.30317687988281,10769000,128.45697021484375,5756800
38.64400863647461,130196800,53.45747756958008,11926600,103.93907928466795,6339000,90.8002700805664,16358200,66.4417495727539,9278700,129.87408447265625,5512100
39.35651016235352,162579600,53.569557189941406,17188400,103.70716857910156,6259700,92.90008544921876,15186900,65.77328491210938,9412000,133.32398986816406,5560100
40.67802429199219,204588800,53.39441680908203,14432400,104.9548110961914,5606400,93.28775024414062,12130200,67.1836166381836,8910700,134.94349670410156,4914500
40.54633331298828,160704400,53.6256217956543,13722400,106.49037170410156,7970100,92.61741638183594,13214300,67.33851623535156,10371700,131.8309783935547,5991600
40.40996170043945,135722000,53.07213592529297,13387300,104.66686248779295,6563500,92.6416473388672,13461500,66.31130981445312,7087700,131.21524047851562,5094600
40.226539611816406,149886400,52.46958541870117,11715000,103.89911651611328,6578000,93.02930450439452,14212500,65.41456604003906,9134500,130.9368896484375,4179400
40.56280517578125,123967600,53.14919662475586,14020200,103.89911651611328,5732200,92.85968780517578,17070400,65.90370178222656,10277700,133.99880981445312,4723300
